fishery,area,year,sex,maturity,shell condition,size,count
RKF,all EBS,2014,male,undetermined,new shell,161,2
RKF,all EBS,2014,male,undetermined,new shell,162,2
RKF,all EBS,2014,male,undetermined,new shell,166,1
RKF,all EBS,2014,male,undetermined,new shell,168,2
RKF,all EBS,2014,male,undetermined,new shell,170,1
RKF,all EBS,2015,male,undetermined,new shell,137,1
SCF,all EBS,2004,male,undetermined,new shell,105,1
SCF,all EBS,2004,male,undetermined,new shell,110,1
SCF,all EBS,2004,male,undetermined,new shell,115,1
SCF,all EBS,2004,male,undetermined,new shell,116,1
SCF,all EBS,2004,male,undetermined,new shell,118,1
SCF,all EBS,2004,male,undetermined,new shell,122,1
SCF,all EBS,2004,male,undetermined,new shell,123,1
SCF,all EBS,2004,male,undetermined,new shell,126,1
SCF,all EBS,2004,male,undetermined,new shell,127,1
SCF,all EBS,2004,male,undetermined,old shell,88,1
SCF,all EBS,2004,male,undetermined,old shell,106,1
SCF,all EBS,2004,male,undetermined,old shell,115,1
SCF,all EBS,2004,male,undetermined,old shell,117,2
SCF,all EBS,2004,male,undetermined,old shell,125,1
SCF,all EBS,2004,male,undetermined,old shell,132,1
SCF,all EBS,2005,male,undetermined,new shell,81,1
SCF,all EBS,2005,male,undetermined,new shell,92,1
SCF,all EBS,2005,male,undetermined,new shell,100,2
SCF,all EBS,2005,male,undetermined,new shell,101,1
SCF,all EBS,2005,male,undetermined,new shell,102,3
SCF,all EBS,2005,male,undetermined,new shell,103,3
SCF,all EBS,2005,male,undetermined,new shell,104,1
SCF,all EBS,2005,male,undetermined,new shell,106,1
SCF,all EBS,2005,male,undetermined,new shell,107,5
SCF,all EBS,2005,male,undetermined,new shell,109,6
SCF,all EBS,2005,male,undetermined,new shell,110,2
SCF,all EBS,2005,male,undetermined,new shell,111,1
SCF,all EBS,2005,male,undetermined,new shell,112,2
SCF,all EBS,2005,male,undetermined,new shell,113,1
SCF,all EBS,2005,male,undetermined,new shell,114,2
SCF,all EBS,2005,male,undetermined,new shell,115,1
SCF,all EBS,2005,male,undetermined,new shell,116,3
SCF,all EBS,2005,male,undetermined,new shell,117,5
SCF,all EBS,2005,male,undetermined,new shell,118,6
SCF,all EBS,2005,male,undetermined,new shell,119,4
SCF,all EBS,2005,male,undetermined,new shell,120,5
SCF,all EBS,2005,male,undetermined,new shell,121,5
SCF,all EBS,2005,male,undetermined,new shell,122,3
SCF,all EBS,2005,male,undetermined,new shell,123,9
SCF,all EBS,2005,male,undetermined,new shell,124,3
SCF,all EBS,2005,male,undetermined,new shell,125,5
SCF,all EBS,2005,male,undetermined,new shell,126,3
SCF,all EBS,2005,male,undetermined,new shell,127,8
SCF,all EBS,2005,male,undetermined,new shell,128,7
SCF,all EBS,2005,male,undetermined,new shell,129,3
SCF,all EBS,2005,male,undetermined,new shell,130,10
SCF,all EBS,2005,male,undetermined,new shell,131,1
SCF,all EBS,2005,male,undetermined,new shell,132,11
SCF,all EBS,2005,male,undetermined,new shell,133,8
SCF,all EBS,2005,male,undetermined,new shell,134,8
SCF,all EBS,2005,male,undetermined,new shell,135,7
SCF,all EBS,2005,male,undetermined,new shell,136,6
SCF,all EBS,2005,male,undetermined,new shell,137,18
SCF,all EBS,2005,male,undetermined,new shell,138,60
SCF,all EBS,2005,male,undetermined,new shell,139,126
SCF,all EBS,2005,male,undetermined,new shell,140,214
SCF,all EBS,2005,male,undetermined,new shell,141,185
SCF,all EBS,2005,male,undetermined,new shell,142,204
SCF,all EBS,2005,male,undetermined,new shell,143,172
SCF,all EBS,2005,male,undetermined,new shell,144,181
SCF,all EBS,2005,male,undetermined,new shell,145,132
SCF,all EBS,2005,male,undetermined,new shell,146,120
SCF,all EBS,2005,male,undetermined,new shell,147,111
SCF,all EBS,2005,male,undetermined,new shell,148,98
SCF,all EBS,2005,male,undetermined,new shell,149,85
SCF,all EBS,2005,male,undetermined,new shell,150,79
SCF,all EBS,2005,male,undetermined,new shell,151,55
SCF,all EBS,2005,male,undetermined,new shell,152,68
SCF,all EBS,2005,male,undetermined,new shell,153,32
SCF,all EBS,2005,male,undetermined,new shell,154,25
SCF,all EBS,2005,male,undetermined,new shell,155,26
SCF,all EBS,2005,male,undetermined,new shell,156,15
SCF,all EBS,2005,male,undetermined,new shell,157,10
SCF,all EBS,2005,male,undetermined,new shell,158,10
SCF,all EBS,2005,male,undetermined,new shell,159,9
SCF,all EBS,2005,male,undetermined,new shell,160,2
SCF,all EBS,2005,male,undetermined,new shell,161,4
SCF,all EBS,2005,male,undetermined,new shell,162,1
SCF,all EBS,2005,male,undetermined,new shell,163,2
SCF,all EBS,2005,male,undetermined,new shell,165,1
SCF,all EBS,2005,male,undetermined,new shell,166,1
SCF,all EBS,2005,male,undetermined,old shell,92,1
SCF,all EBS,2005,male,undetermined,old shell,113,2
SCF,all EBS,2005,male,undetermined,old shell,114,2
SCF,all EBS,2005,male,undetermined,old shell,115,1
SCF,all EBS,2005,male,undetermined,old shell,116,1
SCF,all EBS,2005,male,undetermined,old shell,117,1
SCF,all EBS,2005,male,undetermined,old shell,118,2
SCF,all EBS,2005,male,undetermined,old shell,119,2
SCF,all EBS,2005,male,undetermined,old shell,120,2
SCF,all EBS,2005,male,undetermined,old shell,121,1
SCF,all EBS,2005,male,undetermined,old shell,122,3
SCF,all EBS,2005,male,undetermined,old shell,123,6
SCF,all EBS,2005,male,undetermined,old shell,124,2
SCF,all EBS,2005,male,undetermined,old shell,125,1
SCF,all EBS,2005,male,undetermined,old shell,127,3
SCF,all EBS,2005,male,undetermined,old shell,129,1
SCF,all EBS,2005,male,undetermined,old shell,130,1
SCF,all EBS,2005,male,undetermined,old shell,131,1
SCF,all EBS,2005,male,undetermined,old shell,132,1
SCF,all EBS,2005,male,undetermined,old shell,134,1
SCF,all EBS,2005,male,undetermined,old shell,135,2
SCF,all EBS,2005,male,undetermined,old shell,136,1
SCF,all EBS,2005,male,undetermined,old shell,137,2
SCF,all EBS,2005,male,undetermined,old shell,138,8
SCF,all EBS,2005,male,undetermined,old shell,139,30
SCF,all EBS,2005,male,undetermined,old shell,140,73
SCF,all EBS,2005,male,undetermined,old shell,141,43
SCF,all EBS,2005,male,undetermined,old shell,142,51
SCF,all EBS,2005,male,undetermined,old shell,143,53
SCF,all EBS,2005,male,undetermined,old shell,144,48
SCF,all EBS,2005,male,undetermined,old shell,145,46
SCF,all EBS,2005,male,undetermined,old shell,146,42
SCF,all EBS,2005,male,undetermined,old shell,147,33
SCF,all EBS,2005,male,undetermined,old shell,148,31
SCF,all EBS,2005,male,undetermined,old shell,149,21
SCF,all EBS,2005,male,undetermined,old shell,150,12
SCF,all EBS,2005,male,undetermined,old shell,151,16
SCF,all EBS,2005,male,undetermined,old shell,152,14
SCF,all EBS,2005,male,undetermined,old shell,153,5
SCF,all EBS,2005,male,undetermined,old shell,154,7
SCF,all EBS,2005,male,undetermined,old shell,155,14
SCF,all EBS,2005,male,undetermined,old shell,156,5
SCF,all EBS,2005,male,undetermined,old shell,157,10
SCF,all EBS,2005,male,undetermined,old shell,158,13
SCF,all EBS,2005,male,undetermined,old shell,159,5
SCF,all EBS,2005,male,undetermined,old shell,160,1
SCF,all EBS,2005,male,undetermined,old shell,161,4
SCF,all EBS,2005,male,undetermined,old shell,163,1
SCF,all EBS,2005,male,undetermined,old shell,164,1
SCF,all EBS,2006,male,undetermined,new shell,89,2
SCF,all EBS,2006,male,undetermined,new shell,91,1
SCF,all EBS,2006,male,undetermined,new shell,92,1
SCF,all EBS,2006,male,undetermined,new shell,97,1
SCF,all EBS,2006,male,undetermined,new shell,99,1
SCF,all EBS,2006,male,undetermined,new shell,100,1
SCF,all EBS,2006,male,undetermined,new shell,105,1
SCF,all EBS,2006,male,undetermined,new shell,107,2
SCF,all EBS,2006,male,undetermined,new shell,108,1
SCF,all EBS,2006,male,undetermined,new shell,112,1
SCF,all EBS,2006,male,undetermined,new shell,113,1
SCF,all EBS,2006,male,undetermined,new shell,116,1
SCF,all EBS,2006,male,undetermined,new shell,117,3
SCF,all EBS,2006,male,undetermined,new shell,118,1
SCF,all EBS,2006,male,undetermined,new shell,119,3
SCF,all EBS,2006,male,undetermined,new shell,121,1
SCF,all EBS,2006,male,undetermined,new shell,122,1
SCF,all EBS,2006,male,undetermined,new shell,123,1
SCF,all EBS,2006,male,undetermined,new shell,124,1
SCF,all EBS,2006,male,undetermined,new shell,126,2
SCF,all EBS,2006,male,undetermined,new shell,127,1
SCF,all EBS,2006,male,undetermined,new shell,128,1
SCF,all EBS,2006,male,undetermined,new shell,129,1
SCF,all EBS,2006,male,undetermined,new shell,130,1
SCF,all EBS,2006,male,undetermined,new shell,133,3
SCF,all EBS,2006,male,undetermined,new shell,135,4
SCF,all EBS,2006,male,undetermined,new shell,136,4
SCF,all EBS,2006,male,undetermined,new shell,137,7
SCF,all EBS,2006,male,undetermined,new shell,138,14
SCF,all EBS,2006,male,undetermined,new shell,139,29
SCF,all EBS,2006,male,undetermined,new shell,140,70
SCF,all EBS,2006,male,undetermined,new shell,141,49
SCF,all EBS,2006,male,undetermined,new shell,142,50
SCF,all EBS,2006,male,undetermined,new shell,143,52
SCF,all EBS,2006,male,undetermined,new shell,144,52
SCF,all EBS,2006,male,undetermined,new shell,145,40
SCF,all EBS,2006,male,undetermined,new shell,146,35
SCF,all EBS,2006,male,undetermined,new shell,147,42
SCF,all EBS,2006,male,undetermined,new shell,148,31
SCF,all EBS,2006,male,undetermined,new shell,149,24
SCF,all EBS,2006,male,undetermined,new shell,150,16
SCF,all EBS,2006,male,undetermined,new shell,151,19
SCF,all EBS,2006,male,undetermined,new shell,152,23
SCF,all EBS,2006,male,undetermined,new shell,153,22
SCF,all EBS,2006,male,undetermined,new shell,154,16
SCF,all EBS,2006,male,undetermined,new shell,155,21
SCF,all EBS,2006,male,undetermined,new shell,156,8
SCF,all EBS,2006,male,undetermined,new shell,157,12
SCF,all EBS,2006,male,undetermined,new shell,158,7
SCF,all EBS,2006,male,undetermined,new shell,159,8
SCF,all EBS,2006,male,undetermined,new shell,160,5
SCF,all EBS,2006,male,undetermined,new shell,161,7
SCF,all EBS,2006,male,undetermined,new shell,162,4
SCF,all EBS,2006,male,undetermined,new shell,163,1
SCF,all EBS,2006,male,undetermined,new shell,165,6
SCF,all EBS,2006,male,undetermined,new shell,167,2
SCF,all EBS,2006,male,undetermined,new shell,168,1
SCF,all EBS,2006,male,undetermined,new shell,169,3
SCF,all EBS,2006,male,undetermined,new shell,170,2
SCF,all EBS,2006,male,undetermined,new shell,172,1
SCF,all EBS,2006,male,undetermined,old shell,111,1
SCF,all EBS,2006,male,undetermined,old shell,114,1
SCF,all EBS,2006,male,undetermined,old shell,115,1
SCF,all EBS,2006,male,undetermined,old shell,119,1
